S.NO,School_Name,Location,City,Phone,Details
258,Jawahar Navodaya Vidyalaya - Junapani Sanawad,Junapani Sanawad,"Khargone - 451111, Madhya Pradesh,","(07280)-266266,266277","Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
259,Jawahar Navodaya Vidyalaya - Kanhiwada,Kanhiwada,"Seoni - 480990, Madhya Pradesh,","(07692)-253204,253075phone9993549465(Principal)","Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
260,Jawahar Navodaya Vidyalaya - Laduna-Sitamau,Laduna-sitamau,"Mandsaur - 458990, Madhya Pradesh,","(07426)-222589,222948","Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
261,Jawahar Navodaya Vidyalaya - Padmi,Padmi,"Mandla - 481661, Madhya Pradesh,",(07642)-288347Fax:(07642)288347,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1992,
"
262,Jawahar Navodaya Vidyalaya - Pawarkheda,Pawarkheda,"Hoshangabad - 461110, Madhya Pradesh,",(07574)-227260Fax:(07574)227260,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1987,
"
263,Jawahar Navodaya Vidyalaya - Rahikwara,Rahikwara,"Satna - 485446, Madhya Pradesh,",(07673)-263714Fax:(07673)263806,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,
"
264,Jawahar Navodaya Vidyalaya - Rajgarh,Kachnariya,"Rajgarh - 465683, Madhya Pradesh,",(9301290422966) 940-0000,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
265,Jawahar Navodaya Vidyalaya - Rampura,Rampura,"Neemuch - 458118, Madhya Pradesh,",(07421)-238381Fax:(07421)238381,"Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1986,
"
266,Jawahar Navodaya Vidyalaya - Ratibad,Ratibad,"Bhopal - 462042, Madhya Pradesh,","(0755)-2896325,2896326Fax:(0755)2896326","Class V - Class XII,CBSE Board,Private School (Navodaya Vidyalaya),Co-Educational School,Established in 1993,
"
267,Jawahar Navodaya Vidyalaya - Shamshabad,Shamshabad,"Vidisha - 464111, Madhya Pradesh,",(07595)-259801Fax:(07595)259801,"Nursery - Class XII,CBSE Board,Government School (Navodaya Vidyalaya),Co-Educational School,Established in 1993,
"
268,Jawaharlal Nehru Senior Secondary School,"M.G.M Health Center, Piplani","Bhopal - 462021, Madhya Pradesh,","(0755)-2503047,2503418,2502349,2503648Fax:(0755)2759390","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
269,Jineshwar Public Higher Secondary School,"215 Princecity Colony, Near Abhinandan Nagar, Sukhlia, MR 10 Road","Indore - 452001, Madhya Pradesh,",(0731)-2308666,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
270,JJ Public School,"21, Akrasheep Complex,  Saona Sangeeta Road","Indore - 452001, Madhya Pradesh,",(0731)-2470710phone7828128423Fax:(0731)4005455,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
271,Joy and Campion Public School,"Opposite IIT, Near Bhagyodaya, Karila Saugor, Bara Karila, Khuroi Road","Sagar - 472002, Madhya Pradesh,","(07582)-266815,267089","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
272,Joy Senior Secondary School,"Plot No. A, JDA Scheme No. 5/14, Vijay Nagar","Jabalpur - 482002, Madhya Pradesh,","(0761)-2641726,2641049Fax:(0761)2644413","Class I - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1986,
"
273,JPV DAV Public School,"Near F.C.I. Godown, Pureni","Katni - 483501, Madhya Pradesh,","(07622)-240812,240741phone9425163445","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
274,Jyoti English Medium High School,"Jayant (P.O.), Singrauli","Rewa - 486890, Madhya Pradesh,",(07805)-223180,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1976,
"
275,Jyoti Senior Secondary School,"NH-7,Allahabad Road","Rewa - 486001, Madhya Pradesh,",(756) 612-0139,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1972,
"
276,Kadambini Shishu Vihar High Secondary School,"A-55, Agar Road, Indira Nagar","Ujjain - 456001, Madhya Pradesh,",(0734)-2580423,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
277,Kalidas Montessori Senior Secondary School,"Nayee Peth, Bambakhana","Ujjain - 456331, Madhya Pradesh,","(0734)-2554674,2553522","Senior Secondary School,CBSE Board,Private School (Montessori),Co-Educational School,Established in 1960,
"
278,Kalyanika Kendriya Shiksha Niketan,Amarkantak,"Anuppur - 484886, Madhya Pradesh,",(07629)-269560,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
279,Kamla Devi Public School,"Behind BMHRC, Chhola Over Bridge Road","Bhopal - 462001, Madhya Pradesh,",(0755)-2970179,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
280,Kamla Nehru Higher Secondary School,"Kamla Nagar, Kotra Sultanabad","Bhopal - 462003, Madhya Pradesh,","(0755)-2762130,4244355,4244754Fax:(0755)4244320","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1987,
"
281,Karni International School - KIS,Sanjeet Road,"Mandsaur - 458001, Madhya Pradesh,","(07422)-244119,283119phone8827556675","CBSE Board,Private School,Co-Educational School,
"
282,Kempfort Senior Secondary Public School,"Adjoining Kwality Paradise, Near Danish Kunj Sqaure, Kolar Road","Bhopal - 462042, Madhya Pradesh,","(0755)-2414882phone8269061515,9827576087","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
283,Kendriya Vidyalaya - KV Balaghat,P.O. Bharweli,"Balaghat - 481102, Madhya Pradesh,","(07632)-245250,245333,245150phone9479698458Fax:(07632)245333","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
284,Kendriya Vidyalaya - KV Barwaha,"Jayantimata Road, CISF Complex, Barwaha","Khargone - 451115, Madhya Pradesh,","(07280)-222402,222401phone9425087095,9827341783Fax:(07280)222402","Class X - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1993,
"
285,Kendriya Vidyalaya - KV Betul,"Old Subhash School Campus, Kothi Bazar","Betul - 460001, Madhya Pradesh,",(07146)-236070Fax:(07146)236070,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
286,Kendriya Vidyalaya - KV Bhind,"Lahar Road, Near ITI","Bhind - 477116, Madhya Pradesh,","(07534)-242436,242258Fax:(07534)242258","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
287,Kendriya Vidyalaya - KV Bina,"Near Railway Station, Bina","Sagar - 470113, Madhya Pradesh,","(07580)-221436,222539Fax:(07580)221664","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1988,
"
288,Kendriya Vidyalaya - KV Chhatarpur,Mahoba Road,"Chhatarpur - 471001, Madhya Pradesh,",(07682)-241500Fax:(07682)245577,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
289,Kendriya Vidyalaya - KV CMM Jabalpur,"C.M.M. Ridge Road, Near Lekha Nagar","Jabalpur - 482001, Madhya Pradesh,",(0761)-2601703Fax:(0761)2606592,"Class X - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
290,Kendriya Vidyalaya - KV CRPF Bangrasia,CRPF Bangrasia,"Bhopal - 462045, Madhya Pradesh,","(07480)-262411,290539","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 2010,
"
291,Kendriya Vidyalaya - KV Damoh,Killai Naka Balakot Road,"Damoh - 470661, Madhya Pradesh,","(07812)-223224,222772","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
292,Kendriya Vidyalaya - KV Datia,Rajghat Colony,"Datia - 475661, Madhya Pradesh,",(07522)-237361Fax:(07522)234100,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 2008,
"
293,Kendriya Vidyalaya - KV Dewas,Bank Note Press,"Dewas - 455001, Madhya Pradesh,",(07272)-255444,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
294,Kendriya Vidyalaya - KV Dhar,Chanakya Puri,"Dhar, Madhya Pradesh,","(07292)-222540,222540","Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
295,Kendriya Vidyalaya - KV Guna,NanaKhedi Guna,"Guna - 473001, Madhya Pradesh,",(07542)-268641Fax:(07542)268641,"Class V - Class XII,CBSE Board,Government School,Co-Educational School,Established in 1986,
"
296,Kendriya Vidyalaya - KV Harda,"Vriddhashram, Near Panchayat Office","Harda - 461331, Madhya Pradesh,",(07577)-223003Fax:(07577)223003,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
297,Kendriya Vidyalaya - KV ITBP Karera,ITBP Karera,"Shivpuri - 473662, Madhya Pradesh,",(07493)-253226Fax:(07493)253547,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
298,Kendriya Vidyalaya - KV Jamuna Colliery,"Jamuna Colliery, SECL Jamuna and Kotma Area, Jamuna Colliery","Anuppur - 484444, Madhya Pradesh,",(07658)-265433Fax:(07658)265433,"Class X - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
299,Kendriya Vidyalaya - KV Jhabua,Gail Colony,"Jhabua - 457661, Madhya Pradesh,",(07392)-243010phone9425435089Fax:(07392)245604,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
300,Kendriya Vidyalaya - KV Kalyanpur,Kalyanpur,"Shahdol - 484001, Madhya Pradesh,",(07652)-245360Fax:(07652)245360,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
301,Kendriya Vidyalaya - KV Khandwa,"Civil Lines, Harsood Naka","Khandwa - 450001, Madhya Pradesh,",(0733)-2222375Fax:(0733)2230024,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1986,
"
302,Kendriya Vidyalaya - KV Khandwa,"Raipura, Khandwa Road, Post- Nimbola, Burhanpur","Khandwa - 450331, Madhya Pradesh,",(07325)-2222375Fax:(07325)2222375,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
303,Kendriya Vidyalaya - KV Khargone,Kasrawad Road,"Khargone - 451001, Madhya Pradesh,",(07282)-231563Fax:(07282)231563,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
304,Kendriya Vidyalaya - KV Mandla,Collectrate Mandla,"Mandla - 481661, Madhya Pradesh,",(07642)-251853Fax:(07642)251853,"Class I - Class V,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 2003,
"
305,Kendriya Vidyalaya - KV Mandsaur,Mandsaur Rewas- Dewara Road,"Mandsaur - 458001, Madhya Pradesh,","(07422)-239116,239191Fax:(07422)239116","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1999,
"
306,Kendriya Vidyalaya - KV MHOW,"92, Cunningham Road, Mhow","Indore - 453441, Madhya Pradesh,","(07324)-272640,277440Fax:(07324)229702","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
307,Kendriya Vidyalaya - KV Morena,"Ambah Road, Post- Jigni","Morena - 476001, Madhya Pradesh,",(07532)-297777phone9589769991,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1995,
"
308,Kendriya Vidyalaya - KV Narsinghpur,P.O. Magardha,"Narsinghpur - 487001, Madhya Pradesh,",(07792)-230526Fax:(07792)235036,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
309,Kendriya Vidyalaya - KV Neemuch,Kila Road,"Neemuch - 458441, Madhya Pradesh,",(07422)-220233Fax:(07422)220219,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1970,
"
310,Kendriya Vidyalaya - KV NKJ Katni,"NKJ Katni, SKP Colony","Katni - 483501, Madhya Pradesh,",(07622)-237342,"Class X - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
311,Kendriya Vidyalaya - KV No. 1 Bhopal,"Opp. Central India Flour Mill, Hoshangabad Road","Bhopal - 462011, Madhya Pradesh,",(0755)-2551640phone7838799161Fax:(0755)2760711,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1964,
"
312,Kendriya Vidyalaya - KV No. 1 Chhindwara,"Dharam Tekri, Near PG College","Chhindwara - 480002, Madhya Pradesh,","(07162)-245055,245690Fax:(07162)245055","Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
313,Kendriya Vidyalaya - KV No. 1 GCF Jabalpur,"KV No. 1, GCF Jabalpur, GCF Estate","Gwalior - 482001, Madhya Pradesh,",(0761)-2678853,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
314,Kendriya Vidyalaya - KV No. 1 Gwalior,"Shakti Nagar, Gandhi Road","Gwalior - 474002, Madhya Pradesh,",(0751)-2341208Fax:(0751)2231469,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
315,Kendriya Vidyalaya - KV No. 1 Indore,"Residency Club Road, Near Zoo Park","Indore - 452001, Madhya Pradesh,",(0731)-2702212Fax:(0731)2701887,"Senior Secondary School,CBSE Board,Government School,Co-Educational School,
"
316,Kendriya Vidyalaya - KV No. 1 Ordnance Factory Itarsi,"Ordnance Factory, Itarsi","Hoshangabad - 461122, Madhya Pradesh,",(07572)-262561Fax:(07572)262661,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1980,
"
317,Kendriya Vidyalaya - KV No. 1 Rewa,Civil Lines,"Rewa - 486001, Madhya Pradesh,",(07662)-258522Fax:(07662)256522,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1982,
"
318,Kendriya Vidyalaya - KV No. 1 Sagar,"10, Mall Road, Opposite Cantt Board Office, Sagar Cantt","Sagar - 470001, Madhya Pradesh,",(07582)-222500,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
319,Kendriya Vidyalaya - KV No. 1 Satna,"Near Transport Nagar, Rewa Road, P.O. Birla Vikas","Satna - 485005, Madhya Pradesh,",(07672)-251605Fax:(07672)252626,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
320,Kendriya Vidyalaya - KV No. 2 AFS,"Air Force Station, Maharajpura","Gwalior - 474020, Madhya Pradesh,",(0751)-2470227Fax:(0751)2479243,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
321,Kendriya Vidyalaya - KV No. 2 Chhindwara,"Govt. Polytechnic College Campus, Dharam Tekri","Chhindwara - 480001, Madhya Pradesh,",(07162)-242080,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
322,Kendriya Vidyalaya - KV No. 2 CPE Itarsi,"CPE, Itarsi","Hoshangabad - 461111, Madhya Pradesh,",(07572)-266061,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1985,
"
323,Kendriya Vidyalaya - KV No. 2 Indore,"Near Bijasan Tekari, Airport Road, Gandhi Nagar","Indore - 452005, Madhya Pradesh,","(0731)-2620447,2620448","Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
324,Kendriya Vidyalaya - KV No. 2 Jabalpur,GCF Factory,"Jabalpur - 482001, Madhya Pradesh,","(0761)-2678050,2629950","Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
325,Kendriya Vidyalaya - KV No. 2 Rewa,Civil Lines,"Rewa - 486001, Madhya Pradesh,",(07662)-255311Fax:(07662)255311,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 2004,
"
326,Kendriya Vidyalaya - KV No. 2 Sagar,"Deen Dyal Nagar, Makronia","Sagar - 470001, Madhya Pradesh,",(07582)-262290Fax:(07582)222070,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1994,
"
327,Kendriya Vidyalaya - KV No. 3,"Danish Nagar, Hoshangabad Road","Bhopal - 462026, Madhya Pradesh,",(0755)-4297829Fax:(0755)4282992,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
328,Kendriya Vidyalaya - KV No. 3 Sagar,"Old MLB Campus, Gopalganj","Sagar - 470002, Madhya Pradesh,",(07582)-272235Fax:(07582)272235,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
329,Kendriya Vidyalaya - KV No. 4 AFS Gwalior,"AFS, Mahrajpur","Gwalior - 474020, Madhya Pradesh,",(0751)-2479241Fax:(0751)2479241,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
330,Kendriya Vidyalaya - KV No. 5 Gwalior,Shashtri Nagar,"Gwalior - 474011, Madhya Pradesh,",(0751)-2344069Fax:(0751)4040058,"Class I - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1994,
"
331,Kendriya Vidyalaya - KV Ordnance Factory,"Ordnance Factory, East Land","Katni - 483504, Madhya Pradesh,",(07622)-238071Fax:(07622)238071,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
332,Kendriya Vidyalaya - KV Pachmarhi,Pachmarhi,"Hoshangabad - 461881, Madhya Pradesh,","(07578)-252086,252335Fax:(07578)252086","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1964,
"
333,Kendriya Vidyalaya - KV Panna,Near DIET,"Panna - 488001, Madhya Pradesh,",(07732)-250280phone9425166894Fax:(07732)250280,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 2007,
"
334,Kendriya Vidyalaya - KV Rajgarh,Rajgarh (Biaora) Opposite Collectrate,"Rajgarh - 465661, Madhya Pradesh,",(07372)-255104Fax:(07372)254169,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1986,
"
335,Kendriya Vidyalaya - KV Ratlam,"Sagod Road Road, Post- Bibrod","Ratlam - 457001, Madhya Pradesh,",(07412)-234453Fax:(07412)237073,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
336,Kendriya Vidyalaya - KV Sehore,Near Professors Colony,"Sehore - 466001, Madhya Pradesh,","(07562)-224410,225888","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
337,Kendriya Vidyalaya - KV Sehore,Near Professor Colony,"Sehore - 466001, Madhya Pradesh,",(07562)-224410Fax:(07562)225888,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
338,Kendriya Vidyalaya - KV Seoni,"Dunda Seoni, Barghat Road","Seoni - 480661, Madhya Pradesh,","(07692)-220338,220437phone9425821788Fax:(07692)220051","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
339,Kendriya Vidyalaya - KV Shivpuri,Post Karera ITBP,"Shivpuri - 473551, Madhya Pradesh,","(07492)-224795,224795Fax:(07492)224836","Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
340,Kendriya Vidyalaya - KV Shivpuri,ITBP Complex,"Shivpuri - 473551, Madhya Pradesh,",(07492)-224795Fax:(07492)221180,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1988,
"
341,Kendriya Vidyalaya - KV Shivpuri,"ITBP Campus, AB Road","Shivpuri - 473551, Madhya Pradesh,",(07492)-224795Fax:(07492)224836,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
342,Kendriya Vidyalaya - KV Sidhi,,"Sidhi - 486661, Madhya Pradesh,",(07822)-252205Fax:(07822)251405,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
343,Kendriya Vidyalaya - KV Singrauli,"NCL Colony, P.O. Singrauli Colliery","Jabalpur - 486889, Madhya Pradesh,",(07805)-266986Fax:(07805)268314,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
344,Kendriya Vidyalaya - KV SPM Hoshangabad,"Security Paper Mill, Harda Road","Hoshangabad - 461001, Madhya Pradesh,","(07574)-255327,255320Fax:(07574)279512","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
345,Kendriya Vidyalaya - KV TFRI Jabalpur,"TFRI, Mandla Road, Post- RFRC","Jabalpur - 482021, Madhya Pradesh,",(0761)-2840480Fax:(0761)2840484,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
346,Kendriya Vidyalaya - KV Ujjain,"Dewas Road, Nagziri","Ujjain - 456010, Madhya Pradesh,","(0734)-2511277,2511688Fax:(0734)2518189","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
347,Kendriya Vidyalaya - KV Umaria,"Opposite S.P. Bungalow, Civil Lines","Umaria - 484661, Madhya Pradesh,",(07653)-222186,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
348,Kendriya Vidyalaya - KV Umaria,"Near Sagra Mandir, Civil Line","Umaria - 484661, Madhya Pradesh,",(07653)-222186Fax:(07653)222186,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
349,Kendriya Vidyalaya - KV VF Jabalpur,"Vehicle Factory Estate, Sector 2","Jabalpur - 482001, Madhya Pradesh,",(0761)-2330191Fax:(0761)2330191,"Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,
"
350,Kendriya Vidyalaya - KV Vidisha,Sanchi Road,"Vidisha - 464001, Madhya Pradesh,","(07592)-232737,237855Fax:(07592)232737","Class V - Class XII,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 2005,
"
351,Kendriya Vidyayala - KV No. 2 Bhopal,Near 7 No. Bus Stop,"Bhopal - 462016, Madhya Pradesh,",(0755)-2576442Fax:(0755)2572055,"Senior Secondary School,CBSE Board,Government School (Kendriya Vidyalaya),Co-Educational School,Established in 1994,
"
352,Kesav Vidyapeeth,"Vivekanandapuram, Ramkrishan Road, Gram Chhota Bangdada, Bijasan Road","Indore - 452005, Madhya Pradesh,","(0731)-2416000,4023773","CBSE Board,Private School,Co-Educational School,
"
353,KG Children Higher Secondary School,"Mall Road, Morar","Gwalior - 474006, Madhya Pradesh,",(0751)-2365160phone9425787828,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
354,Khushhal Vidya Peeth,"Near Railway Spring Factory, Sitholi Jhansi Road","Gwalior - 480001, Madhya Pradesh,",(9827211164920) 220-0000,"Play - Class X,CBSE Board,Private School,Co-Educational School,
"
355,Kiddy's Corner Senior Secondary School,"Shivpuri Link Road, Lashkar","Gwalior - 474009, Madhya Pradesh,",(0751)-2379177,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
356,Kids Care Kindergarten and Junior School,"Sanjeevani Nagar, Garha","Jabalpur - 482001, Madhya Pradesh,",(0761)-4038649,"Nursery - Class VIII,CBSE Board,Private School,Co-Educational School,
"
357,Kids Planet Nursery School,"134, Silver Oak Colony, Annapurna Road","Indore - 452009, Madhya Pradesh,",(0731)-4086619phone9826367393,"Play - Kindergarten,CBSE Board,Private School,Co-Educational School,
"
358,Kopal Higher Secondary School,"Nehru Nagar, Kotra Sultanabad","Bhopal - 462003, Madhya Pradesh,","(0755)-2762232,4223987","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
359,Lakshya International School,"Gawla, Maheshwar Road","Khargone - 451224, Madhya Pradesh,",(07283)-273900phone9752879355,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
360,LG Academy,CAT-Rau Road,"Indore - 453331, Madhya Pradesh,","(0731)-2906659phone9425400099,9893212929","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
361,Lions Convent Higher Secondary School,"Near Choti Bijasen, Agra-Mumbai Highway, Sendhwa","Barwani - 451666, Madhya Pradesh,","(07281)-222030,222330","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
362,Lions Convent School,Near Choti Bijasen Temple Sendhwa,"Barwani - 451551, Madhya Pradesh,",(07281)-222330,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
363,Little Angels Public School,"Mahadji Nagar, Shivpuri Link Road","Gwalior - 474009, Madhya Pradesh,",(0751)-2633481Fax:(0751)2341690,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
364,Little Angles Higher Secondary School,"Jail Road, Telikheda, Mhowgaon, Mhow","Indore - 453441, Madhya Pradesh,",(07324)-271118phone9303220140Fax:(07324)275075,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1981,
"
365,Little Flower Higher Secondary School,Sadar,"Betul - 460001, Madhya Pradesh,",(07141)-238574,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
366,Little Flower Higher Secondary School,Khajrana Road,"Indore - 452001, Madhya Pradesh,","(0731)-2564155,4080246","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
367,Little Star Shailesh Memorial School,"Dr. Harisingh Gaur Nagar, Makronia","Sagar - 470001, Madhya Pradesh,",(971) 344-1188,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1991,
"
368,Little World School,"Nagpur Road, Tilwara","Jabalpur - 482003, Madhya Pradesh,",(761) 267-3623,"Play - Class XII,CBSE Board,Private School,Co-Educational School,
"
369,Little World School - Katanga,"APR Colony, Katanga","Jabalpur - 482001, Madhya Pradesh,",(761) 240-4412,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
370,Lokmanya Vidya Niketan Higher Secondary School,"Lokmanya Nagar, Kesar Bagh Road","Indore - 452001, Madhya Pradesh,","(0731)-2360169,2361783phone9479460169","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1996,
"
371,Lord Krishna Public School,"Tiraha, Unao Road","Datia - 475661, Madhya Pradesh,",(7869441591786) 940-0000,"Class I - Class X,CBSE Board,Private School,Co-Educational School,Established in 2008,
"
372,M.B. Khalsa Boys Higher Secondary School,83 Jawahar Marg,"Indore - 453001, Madhya Pradesh,","(0731)-2785251,2410381Fax:(0731)2380186","High Secondary School,CBSE Board,Private School,Boys Only School,
"
373,M.G. Memorial Higher Secondary School,Gayatri Colony,"Morena - 476001, Madhya Pradesh,",(07532)-232489phone9074855973,"Play - Class X,CBSE Board,Private School,Co-Educational School,Established in 1994,
"
374,M.M. International School - MMIS,"Patan By Pass Road, Behind Global College","Jabalpur - 482004, Madhya Pradesh,","(0761)-2908070phone8109000162,8109000158,8109000159","Nursery - Class VIII,CBSE Board,Private School,Co-Educational School,
"
375,Macro Vision Academy,"Post Box No. 12, Renuka Mata Road, Behind Collectorate","Khandwa - 450331, Madhya Pradesh,",(93025111119300100000000) 000-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
